objid,ra,dec,redshift,mag_r
1237648703516442877,213.302863425726,-0.752193667879069,0.07009463,15.80786
1237648704049840359,205.389051366992,-0.408912376583239,0.07189922,16.53984
1237648720143712447,149.638302943322,-0.855179803971567,0.08596467,15.86244
1237648720681435320,151.608928961009,-0.587753707185951,0.187017,18.52505
1237648721755111572,151.460797092611,0.220412215806922,0.1227516,17.58607
1237648721756291214,154.15275519394,0.225987573614964,0.1883107,18.59596
1237648722291523787,150.483050338229,0.6298550901636,0.08547033,17.86758
1237648722830557410,155.430436928256,1.24121115198779,0.07870676,16.28318
1237648722854346761,209.623240010905,1.15237116508262,0.2438676,17.91823
1237650369412530371,189.840618889446,-3.4402831881277,0.2565754,18.85594
1237650369951105045,193.816497649597,-3.09560048494279,0.2781796,18.509
1237650370481684595,179.412811316092,-2.65231392622502,0.1308807,17.599
1237650371025764462,195.878153666133,-2.23334600574098,0.08425244,16.1486
1237650372089151630,172.200125874658,-1.27799986829872,0.1198895,17.20358
1237650372099244182,195.290480130772,-1.27468668407266,0.2584141,18.88701
1237650760241447080,176.296576125866,-3.66389624613017,0.3716791,18.76813
1237650761315647662,177.281987230125,-2.75789076714816,0.1306623,17.50874
1237650761860841741,196.321275247212,-2.33502483911568,0.4386038,19.37732
1237650760781201554,182.861791497052,-3.15065868158401,0.1856371,16.74996
1237650760250163330,196.291611274863,-3.53590420253134,0.08353788,16.27873
1237651190825680961,145.32590594945,58.4734154005712,0.2796144,18.27412
1237648722841501766,180.376585025528,1.1941024229398,0.077953,16.29404
1237648722837307681,170.833393735797,1.11050100978406,0.2789425,18.95274
1237648722835210456,166.019768260296,1.07701537420504,0.1202509,17.39467
1237648722829508658,152.888209374807,1.24754754323105,0.3706188,19.17256
1237648722827870732,149.250252027411,1.04923252674181,0.4261247,20.26865
1237648722297749519,164.581180840815,0.779978939701164,0.125678,18.29176
1237648721763762434,171.252664629537,0.244806588849712,0.2445746,17.93743
1237648721756422213,154.51859301947,0.349984258687271,0.2774611,18.22435
1237648721756356957,154.342059769502,0.210274509556779,0.3963192,19.41384
1237648721227023077,171.54031458388,-0.193954841473861,0.512475,20.52684
1237648720698277967,190.14925921016,-0.488747576102832,0.08082828,17.52317
1237648720696705701,186.491267924437,-0.606157111867293,0.4892974,20.11572
